n,Length to reach n,check
1,4,True
2,5,True
3,8,True
4,3,True
5,6,True
6,9,True
7,17,True
8,4,True
9,20,True
10,7,True
11,15,True
12,10,True
13,10,True
14,18,True
15,18,True
16,5,True
17,13,True
18,21,True
19,21,True
20,8,True
21,8,True
22,16,True
23,16,True
24,11,True
25,24,True
26,11,True
27,112,True
28,19,True
29,19,True
30,19,True
31,107,True
32,6,True
33,27,True
34,14,True
35,14,True
36,22,True
37,22,True
38,22,True
39,35,True
40,9,True
41,110,True
42,9,True
43,30,True
44,17,True
45,17,True
46,17,True
47,105,True
48,12,True
49,25,True
50,25,True
51,25,True
52,12,True
53,12,True
54,113,True
55,113,True
56,20,True
57,33,True
58,20,True
59,33,True
60,20,True
61,20,True
62,108,True
63,108,True
64,7,True
65,28,True
66,28,True
67,28,True
68,15,True
69,15,True
70,15,True
71,103,True
72,23,True
73,116,True
74,23,True
75,15,True
76,23,True
77,23,True
78,36,True
79,36,True
80,10,True
81,23,True
82,111,True
83,111,True
84,10,True
85,10,True
86,31,True
87,31,True
88,18,True
89,31,True
90,18,True
91,93,True
92,18,True
93,18,True
94,106,True
95,106,True
96,13,True
97,119,True
98,26,True
99,26,True
100,26,True
101,26,True
102,26,True
103,88,True
104,13,True
105,39,True
106,13,True
107,101,True
108,114,True
109,114,True
110,114,True
111,70,True
112,21,True
113,13,True
114,34,True
115,34,True
116,21,True
117,21,True
118,34,True
119,34,True
120,21,True
121,96,True
122,21,True
123,47,True
124,109,True
125,109,True
126,109,True
127,47,True
128,8,True
129,122,True
130,29,True
131,29,True
132,29,True
133,29,True
134,29,True
135,42,True
136,16,True
137,91,True
138,16,True
139,42,True
140,16,True
141,16,True
142,104,True
143,104,True
144,24,True
145,117,True
146,117,True
147,117,True
148,24,True
149,24,True
150,16,True
151,16,True
152,24,True
153,37,True
154,24,True
155,86,True
156,37,True
157,37,True
158,37,True
159,55,True
160,11,True
161,99,True
162,24,True
163,24,True
164,112,True
165,112,True
166,112,True
167,68,True
168,11,True
169,50,True
170,11,True
171,125,True
172,32,True
173,32,True
174,32,True
175,81,True
176,19,True
177,32,True
178,32,True
179,32,True
180,19,True
181,19,True
182,94,True
183,94,True
184,19,True
185,45,True
186,19,True
187,45,True
188,107,True
189,107,True
190,107,True
191,45,True
192,14,True
193,120,True
194,120,True
195,120,True
196,27,True
197,27,True
198,27,True
199,120,True
200,27,True
201,19,True
202,27,True
203,40,True
204,27,True
205,27,True
206,89,True
207,89,True
208,14,True
209,40,True
210,40,True
211,40,True
212,14,True
213,14,True
214,102,True
215,102,True
216,115,True
217,27,True
218,115,True
219,53,True
220,115,True
221,115,True
222,71,True
223,71,True
224,22,True
225,53,True
226,14,True
227,14,True
228,35,True
229,35,True
230,35,True
231,128,True
232,22,True
233,84,True
234,22,True
235,128,True
236,35,True
237,35,True
238,35,True
239,53,True
240,22,True
241,22,True
242,97,True
243,97,True
244,22,True
245,22,True
246,48,True
247,48,True
248,110,True
249,48,True
250,110,True
251,66,True
252,110,True
253,110,True
254,48,True
255,48,True
256,9,True
257,123,True
258,123,True
259,123,True
260,30,True
261,30,True
262,30,True
263,79,True
264,30,True
265,123,True
266,30,True
267,22,True
268,30,True
269,30,True
270,43,True
271,43,True
